epsilon,alpha,recall@10,e2e_ms,p99_ms,preload_time_ms,preload_bytes,probe_ms,index_dir,output_dir
0.75,0.01,0.9505,0.7016,0.9065,20.2960,120496128,0.4544,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_001/coco_100k_20260415T221458
0.75,0.02,0.9467,0.6999,0.9065,20.8476,120496128,0.4553,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_002/coco_100k_20260415T221506
0.75,0.03,0.9417,0.6920,0.9016,20.5763,120496128,0.4476,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_003/coco_100k_20260415T221514
0.75,0.04,0.9381,0.6900,0.9051,19.7438,120496128,0.4458,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_004/coco_100k_20260415T221521
0.75,0.05,0.9322,0.6859,0.9044,20.0880,120496128,0.4418,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_005/coco_100k_20260415T221529
0.75,0.07,0.9217,0.5864,0.9062,20.4206,120496128,0.3532,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_007/coco_100k_20260415T221538
0.75,0.10,0.9016,0.5502,0.8924,19.5142,120496128,0.3229,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_010/coco_100k_20260415T221545
0.75,0.15,0.8675,0.5115,0.9076,19.7798,120496128,0.2897,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_015/coco_100k_20260415T221553
0.75,0.20,0.8334,0.4731,0.8954,19.8149,120496128,0.2561,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_075_alpha_020/coco_100k_20260415T221601
0.80,0.01,0.9523,0.7218,0.9436,13.8584,120496128,0.4756,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_001/coco_100k_20260415T221609
0.80,0.02,0.9488,0.7189,0.9484,13.7797,120496128,0.4720,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_002/coco_100k_20260415T221617
0.80,0.03,0.9432,0.7159,0.9480,13.9355,120496128,0.4708,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_003/coco_100k_20260415T221625
0.80,0.04,0.9395,0.7121,0.9586,13.6456,120496128,0.4657,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_004/coco_100k_20260415T221632
0.80,0.05,0.9335,0.7100,0.9550,14.1449,120496128,0.4645,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_005/coco_100k_20260415T221641
0.80,0.07,0.9231,0.6042,0.9547,13.7460,120496128,0.3710,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_007/coco_100k_20260415T221649
0.80,0.10,0.9026,0.5727,0.9597,14.0662,120496128,0.3431,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_010/coco_100k_20260415T221656
0.80,0.15,0.8681,0.5257,0.9640,14.0242,120496128,0.3016,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_015/coco_100k_20260415T221704
0.80,0.20,0.8329,0.4922,0.9586,13.6350,120496128,0.2735,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.80_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_080_alpha_020/coco_100k_20260415T221712
0.90,0.01,0.9536,0.8140,1.1098,16.3262,120496128,0.5531,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_001/coco_100k_20260415T221720
0.90,0.02,0.9497,0.8046,1.0911,16.0663,120496128,0.5452,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_002/coco_100k_20260415T221728
0.90,0.03,0.9444,0.8002,1.1011,16.1038,120496128,0.5420,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_003/coco_100k_20260415T221736
0.90,0.04,0.9407,0.7953,1.0972,16.0504,120496128,0.5382,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_004/coco_100k_20260415T221744
0.90,0.05,0.9344,0.7898,1.0961,15.6632,120496128,0.5336,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_005/coco_100k_20260415T221752
0.90,0.07,0.9232,0.6735,1.1046,15.8808,120496128,0.4295,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_007/coco_100k_20260415T221800
0.90,0.10,0.9023,0.6359,1.1001,15.6837,120496128,0.3966,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_010/coco_100k_20260415T221808
0.90,0.15,0.8668,0.5845,1.1116,15.6476,120496128,0.3517,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_015/coco_100k_20260415T221816
0.90,0.20,0.8328,0.5399,1.0940,16.1670,120496128,0.3126,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_090_alpha_020/coco_100k_20260415T221823
0.95,0.01,0.9539,0.8952,1.2016,13.8596,120496128,0.6241,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_001/coco_100k_20260415T221831
0.95,0.02,0.9498,0.8878,1.2091,13.8538,120496128,0.6182,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_002/coco_100k_20260415T221840
0.95,0.03,0.9440,0.8825,1.2062,13.8908,120496128,0.6130,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_003/coco_100k_20260415T221848
0.95,0.04,0.9407,0.8786,1.2018,13.5514,120496128,0.6098,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_004/coco_100k_20260415T221856
0.95,0.05,0.9345,0.8769,1.2181,13.8536,120496128,0.6086,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_005/coco_100k_20260415T221904
0.95,0.07,0.9222,0.7400,1.1964,13.7868,120496128,0.4852,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_007/coco_100k_20260415T221912
0.95,0.10,0.9015,0.6988,1.1949,13.9114,120496128,0.4483,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_010/coco_100k_20260415T221920
0.95,0.15,0.8652,0.6321,1.1747,13.5186,120496128,0.3912,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_015/coco_100k_20260415T221928
0.95,0.20,0.8311,0.5852,1.1810,13.9883,120496128,0.3492,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.95_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_095_alpha_020/coco_100k_20260415T221936
0.99,0.01,0.9541,1.0679,1.3492,22.7347,120496128,0.7709,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_001/coco_100k_20260415T221944
0.99,0.02,0.9498,1.0577,1.3422,22.8947,120496128,0.7605,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_002/coco_100k_20260415T221952
0.99,0.03,0.9438,1.0514,1.3408,23.0291,120496128,0.7585,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_003/coco_100k_20260415T222001
0.99,0.04,0.9409,1.0340,1.3210,21.9127,120496128,0.7415,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_004/coco_100k_20260415T222009
0.99,0.05,0.9347,1.0246,1.3297,21.9509,120496128,0.7342,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_005/coco_100k_20260415T222017
0.99,0.07,0.9216,0.8444,1.3035,21.9294,120496128,0.5694,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_007/coco_100k_20260415T222025
0.99,0.10,0.8994,0.7873,1.2907,21.9519,120496128,0.5184,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_010/coco_100k_20260415T222033
0.99,0.15,0.8629,0.7050,1.2553,22.2539,120496128,0.4466,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_015/coco_100k_20260415T222042
0.99,0.20,0.8272,0.6426,1.2372,22.0665,120496128,0.3909,/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.99_rebuild_20260415_epssweep,/tmp/epsilon_alpha_sweep/eps_099_alpha_020/coco_100k_20260415T222050
