system,dataset,topk,param,recall@10,e2e_ms,p99_ms,notes,protocol
BoundFetch,coco_100k,10,"nlist=2048,nprobe=50,alpha=0.1",0.8068,0.743,1.001,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=100,alpha=0.1",0.8781,1.117,1.513,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=150,alpha=0.1",0.8984,1.336,2.000,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.1",0.9021,1.409,2.493,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=250,alpha=0.1",0.9024,1.397,2.744,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=300,alpha=0.1",0.9025,1.393,2.824,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.1",0.9025,1.403,2.773,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05",0.9346,1.511,1.855,OPTIMAL,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01,clu_mode=window",0.9640,3.9670,4.8430,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01,clu_mode=full_preload",0.9640,2.3660,2.8300,"low-load retest; preload_time_ms=68.091; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,clu_mode=window",0.9551,3.8560,4.9230,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,clu_mode=full_preload",0.9551,2.3440,2.8340,"low-load retest; preload_time_ms=68.215; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05,clu_mode=window",0.9346,2.4750,3.2250,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05,clu_mode=full_preload",0.9346,1.6090,1.9460,"low-load retest; preload_time_ms=68.014; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.10,clu_mode=window",0.9021,2.3390,4.2840,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.10,clu_mode=full_preload",0.9021,1.4580,2.7170,"low-load retest; preload_time_ms=68.569; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.15,clu_mode=window",0.8180,1.2780,1.8430,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.15,clu_mode=full_preload",0.8180,0.8310,1.0180,"low-load retest; preload_time_ms=68.268; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.20,clu_mode=window",0.7578,1.0420,1.4880,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.20,clu_mode=full_preload",0.7578,0.6790,0.8460,"low-load retest; preload_time_ms=67.825; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01",0.9640,2.251,2.648,highest recall at nprobe=200,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01,clu_mode=full_preload",0.9640,2.9930,4.4790,"preload-on sweep; preload_time_ms=87.561; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,clu_mode=full_preload",0.9551,2.7660,4.2230,"preload-on sweep; preload_time_ms=84.559; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.08,clu_mode=full_preload",0.9163,1.8250,3.5830,"preload-on sweep; preload_time_ms=84.815; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.10,clu_mode=full_preload",0.9021,1.7560,3.5680,"preload-on sweep; preload_time_ms=83.042; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=250,alpha=0.01",0.9750,2.781,3.234,high recall,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=300,alpha=0.01",0.9808,3.309,3.819,very high recall,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.01",0.9853,3.788,4.313,highest recall overall,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.01,clu_mode=full_preload",0.9853,4.6650,7.0140,"preload-on sweep; preload_time_ms=87.598; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.02,clu_mode=full_preload",0.9843,6.1040,8.7120,"preload-on sweep; preload_time_ms=85.259; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.05,clu_mode=full_preload",0.9346,1.6950,2.5640,"preload-on sweep; preload_time_ms=70.843; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.08,clu_mode=full_preload",0.9171,1.8320,3.7680,"preload-on sweep; preload_time_ms=82.701; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.10,clu_mode=full_preload",0.9025,1.7560,3.8500,"preload-on sweep; preload_time_ms=82.203; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,epsilon=0.75,bits=4,clu_mode=full_preload",0.9519,1.7718,2.0775,"corrected bits=4 + Stage2 epsilon sweep; loaded_eps_ip=0.0442; preload_bytes=120459264",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=1",0.9930,1.1090,1.8078,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=2",0.9930,1.1189,1.8073,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=5",0.9930,1.1585,1.9010,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=10",0.9930,1.3738,2.1865,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=15",0.9950,1.3953,2.2225,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=20",0.9970,1.9252,2.9748,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=30",0.9980,2.4763,3.5780,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=40",0.9990,3.0696,4.0966,"R=32,L_build=50,warmup=100,queries=1000",warm
DiskANN+FlatStor,coco_100k,10,"R=32,L_build=50,L_search=50",0.9990,3.6190,4.6523,"R=32,L_build=50,warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=8,0.7150,0.3327,,"warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=16,0.7450,0.6571,,"warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=32,0.7470,1.3167,,"warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=64,0.7490,1.4664,,"warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=128,0.7460,1.7628,,"warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=256,0.7440,2.4014,,"warmup=100,queries=1000",warm
FAISS-IVFPQ+FlatStor,coco_100k,10,nprobe=512,0.7400,3.9766,,"warmup=100,queries=1000",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9505,0.7190,0.9249,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.4895; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9467,0.7119,0.9716,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.6350; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.03,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9417,0.7008,0.9059,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.6915; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.04,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9381,0.6961,0.9104,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.5229; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9322,0.7047,0.9788,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.5600; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.07,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9217,0.5851,0.9064,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.2937; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.10,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.9016,0.5550,0.9022,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.2982; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.15,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.8675,0.5145,0.9107,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.4223; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.20,epsilon=0.75,bits=4,clu_mode=full_preload,index=phase1_revert_20260415",0.8334,0.4818,0.9124,"phase1-revert alpha sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.75; preload_time_ms=12.4999; preload_bytes=120496128",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.01,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.9887,1.5114,2.2997,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_001/coco_100k_20260416T135042",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.02,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.9848,1.5098,2.3033,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_002/coco_100k_20260416T135051",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.05,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.9694,1.4785,2.3044,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_005/coco_100k_20260416T135100",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.08,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.9194,0.6906,1.4584,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_008/coco_100k_20260416T135108",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.10,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.9059,0.6661,1.4146,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_010/coco_100k_20260416T135116",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.15,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.8685,0.6073,1.3383,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_015/coco_100k_20260416T135125",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=512,alpha=0.20,epsilon=0.90,bits=4,clu_mode=full_preload,index=eps090_nprobe512_20260416",0.8342,0.5554,1.2663,"manual sweep; index_dir=/home/zcq/VDB/test/data/COCO100k/index_fkmeans_2048_bits4_eps0.90_rebuild_20260415_epssweep; output_dir=/tmp/eps090_nprobe512_sweep/alpha_020/coco_100k_20260416T135133",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.01,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9901,1.7103,2.7942,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a001/coco_100k_20260416T211010",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.02,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9857,1.7032,2.7885,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a002/coco_100k_20260416T211049",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.05,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9724,2.4426,4.8203,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a005/coco_100k_20260416T211058",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.08,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9556,1.6066,2.7846,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a008/coco_100k_20260416T211108",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.10,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9092,0.7277,1.5564,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a010/coco_100k_20260416T211120",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.15,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.8700,0.6642,1.4082,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a015/coco_100k_20260416T211128",warm
BoundFetch,coco_100k,10,"assign=single,nlist=2048,nprobe=512,alpha=0.20,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.8320,0.6171,1.3161,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/single_a020/coco_100k_20260416T211137",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.01,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9944,2.4701,4.9401,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a001/coco_100k_20260416T211145",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.02,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9924,2.4395,4.8810,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a002/coco_100k_20260416T211156",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.05,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9842,2.4035,4.9293,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a005/coco_100k_20260416T211206",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.08,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9646,1.1884,2.7245,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a008/coco_100k_20260416T211216",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.10,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9585,1.1476,2.6519,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a010/coco_100k_20260416T211225",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.15,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9337,1.0526,2.5146,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a015/coco_100k_20260416T211234",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_naive,nlist=2048,nprobe=512,alpha=0.20,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9086,0.9701,2.3825,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_naive_a020/coco_100k_20260416T211243",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.01,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9928,2.0717,3.8798,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a001/coco_100k_20260416T211251",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.02,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9902,2.0548,3.8854,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a002/coco_100k_20260416T211301",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.05,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9698,1.0692,2.5575,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a005/coco_100k_20260416T211311",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.08,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9577,0.9927,2.3963,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a008/coco_100k_20260416T211320",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.10,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9460,0.9637,2.3559,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a010/coco_100k_20260416T211329",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.15,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.9143,0.8735,2.1766,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a015/coco_100k_20260416T211337",warm
BoundFetch,coco_100k,10,"assign=redundant_top2_rair,nlist=2048,nprobe=512,alpha=0.20,epsilon=0.90,bits=4,clu_mode=full_preload,index=rair_alpha_sweep_20260416",0.8855,0.8110,2.0925,"rair-study; output_dir=/tmp/rair_alpha_sweep_20260416/redundant_top2_rair_a020/coco_100k_20260416T211346",warm
